t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
15.19,133521,taller,S,2,19336,6133,2908,0.02
15.7,133510,centro_despacho,S,6,23820,8505,3960,0.36
15.7,133516,trabajador-1,S,5,21076,7721,4492,0.25
15.7,133517,trabajador-2,S,5,21340,7968,4732,0.25
15.7,133521,taller,S,2,19336,6133,2908,0.02
16.2,133510,centro_despacho,S,6,23828,8513,3968,0.36
16.2,133516,trabajador-1,S,5,21140,7788,4560,0.27
16.2,133517,trabajador-2,S,5,21468,8096,4860,0.27
16.2,133521,taller,S,2,19336,6134,2908,0.03
16.7,133510,centro_despacho,S,6,23832,8517,3972,0.37
16.7,133516,trabajador-1,S,5,21204,7852,4624,0.29
16.7,133517,trabajador-2,S,5,21532,8160,4924,0.29
16.7,133521,taller,S,2,19336,6134,2908,0.03
17.21,133510,centro_despacho,S,4,24028,8562,4032,0.39
17.21,133516,trabajador-1,S,5,21268,7920,4688,0.31
17.21,133517,trabajador-2,S,5,21604,8239,5000,0.29
17.21,133521,taller,S,2,19336,6142,2916,0.03
17.72,133510,centro_despacho,S,4,24032,9562,4240,0.39
17.72,133516,trabajador-1,S,5,21396,9067,4828,0.31
17.72,133517,trabajador-2,S,3,21788,9259,5008,0.29
18.22,133510,centro_despacho,S,4,24036,9566,4244,0.39
18.22,133516,trabajador-1,S,3,21644,9125,4884,0.31
18.22,133517,trabajador-2,S,3,21852,9323,5072,0.29
18.73,133510,centro_despacho,S,3,24032,16321,12776,0.40
